id,category,item_name,price_thb,mark,description_seen,confirm_with_kitchen
F4T-077,Waffles / Oats,Chicken & Waffle,329,redo,Waffle with chicken in a sweet and spicy sauce and a whipped orange infusion,
F4T-078,Waffles / Oats,Cajun Shrimp & Grits,349,good,Corn porridge (grits) with cajun shrimp and herb garnish,
F4T-079,Waffles / Oats,Swedish Pancakes,249,redo,"Thin folded pancakes topped with berry sauce, cream and fresh mint",
F4T-080,Waffles / Oats,Oats Porridge,229,redo,"Oat porridge with milk, masala chai or coconut milk, topped with fruit and seeds",
F4T-081,Waffles / Oats,Chia Pudding,229,redo,Chia seed and coconut milk pudding with mixed fresh fruit and dried fruit,
F4T-082,Waffles / Oats,Muesli,229,redo,"Muesli topped with mixed fresh fruits, dried fruit and nuts",
F4T-083,Waffles / Oats,Buttermilk Pancakes,229,redo,"Short stack of buttermilk pancakes with butter, banana and maple syrup",toppings
F4T-084,Waffles / Oats,French Toast,249,redo,"Sourdough French toast in custard with butter and sour cream, fruit on the side",
F4T-085,Waffles / Oats,Sweet potato & Quinoa Waffle,249,redo,"Waffle filled with sweet potato, quinoa, rice and curly kale, topped with cream and sliced fruit",
F4T-086,Waffles / Oats,Savory Waffle,289,redo,"Waffle with fried egg, bacon, mango chutney, brie, parmesan and sour cream",
F4T-087,Snacks Shareable,Tilapia Ceviche,269,redo,"Marinated raw tilapia with a Thai twist, chopped herbs and lime, served with crackers",
F4T-088,Snacks Shareable,Chicken Nachos,279,good,"Tortilla chips with chicken, black beans, roasted veggies, cheddar and fresh onion, salsa on the side",
F4T-089,Snacks Shareable,Chicken Quesadillas,279,good,"Grilled quesadilla with chicken, tomato, onion and cilantro, mozzarella and sour cream",
F4T-090,Snacks Shareable,Black Bean Quesadilla,279,redo,"Quesadilla with black beans, fresh tomato, onion, cilantro and mozzarella",
F4T-091,Snacks Shareable,Carnitas Tacos,279,redo,"3 tortillas with spicy smoky carnitas pork, fresh pineapple, parmesan and crema",
F4T-092,Snacks Shareable,Fish Tacos,289,redo,"3 tortillas with fried fish and cabbage, guacamole and spicy sauce",
F4T-093,Snacks Shareable,Chicken Wings,219,redo_na,unavailable,
F4T-094,Snacks Shareable,Avocado Fries,129,redo,"Avocado wedges in panko, fried golden, served with garlic aioli",
F4T-095,Snacks Shareable,Fresh Cut Veggies & Dip,199,redo,"Fresh cut vegetables with red-pepper hummus and garlic hummus, toasted bread",
F4T-096,Snacks Shareable,Chip & Salsa,219,redo,House tortilla chips with salsa and guacamole,
F4T-097,Snacks Shareable,Black Bean Dip,259,good,"Warm black bean puree topped with mozzarella, served with tortilla chips",
